"Resultado;Nombrede la medida;Fecha;Hora;Límite a medida;Instrumento;Adaptador;Firmware ;Operador del equipo;Compañía;Contratista;Tipo;Estándar;Ra";"ngo de frequencia;Notas";"de usuario;Largo del cabl";"e;Medidor";de potenc;ia;";Longitúd de on";"da;Diámetro del centro;Potencia de referencia;Potencia recibida;Potencia recibida;Pérdida;DH/RH;Atenuación;Longitúd de onda;Diámetro del centro;Pérdida;Umbral de pérdida;Margen;Longitúd;Longitúd;Límite;Margen;Medida;DH/RH;Pares;Resultado;Freq en Peor Caso;Valor del peor escenario;Límite del peor escenario;Margen del peor escenario;Peor valor absoluto;Peor Frequencia en total;Peor límite en total;Peor margen en total;RESISTENCIA;Límite;7_8;3_6;5_4;1_2;LONGITUD;Límite;7_8;3_6;5_4;1_2;IMPEDANCIA;Límite;7_8;3_6;5_4;1_2;RETARDO DE PROPAGACIÓN;Límite;7_8;3_6;5_4;1_2;DIFERENCIAL DE RETARDO;Límite;7_8;3_6;5_4;1_2;CAPACITANCIA;Límite;7_8;3_6;5_4;1_2;NVP_7_8;NVP_3_6;NVP_5_4;NVP_1_2;ENCABEZAMIENTO;Pin 1;Pin 2;Pin 3;Pin 4;Pin 5;Pin 6;Pin 7;Pin 8;Aislación"
";;;;;;;;;;;;;MHz;;meters;Resultado;nm;um;dB;dB/dBm;uw;dB;;Resultado;nm;um;dB;dB;dB;Resultado;meters;meters;meters;Tipo;;;;MHz;dB;dB;dB;dB;MHz;dB;";"dB;Resultado;Ohm;Ohm;Ohm";";Ohm;Ohm;Resultado;meters";";meters;m";"eters;mete";rs;";meters;Resulta";"do;Ohm;Ohm;Ohm;Ohm;Ohm;Resultado;ns;ns;ns;ns;ns;Resultado;ns;ns;ns;ns;ns;Resultado;pF/m;pF/m;pF/m;pF/m;pF/m;%;%;%;%;dB;;;;;;;;;;"
"Pasa;Bajos-1;16/02/2024;15:09;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pasa;25,0;""6,3"";""6,3"";""6,4"";""6,3"";Pasa;100,0;""34,1"";""37,3"";""37,1"";""35,8"";;;;;;;Pasa;555,0";";""167,0"";""172,8"";""171,9""";";""165,7"";Pasa;50,0;""1,3"";";"""7,1"";""6,";"2"";""0,0"";;";";;";";;;68;72;72;72;";"55,3 ;OK;OK;OK;OK;OK;OK;OK;OK;Abierto@0"
"Pasa;Bajos-1;16/02/2024;15:09;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;NEXT;Display;""7,8-3,6"";Pasa;""206,0"";""42,6"";""34,6"";""8,0"";""42,6"";""206,0"";""34,6"";""8,0""";;;;;;;
"Pasa;Bajos-1;16/02/2024;15:09;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;NEXT;Display;""7,8-5,4"";Pasa;""8,1"";""60,9"";""58,1"";""2,8"";""43,1"";""246,0"";""33,2"";""9,9""";;;;;;;
"Pasa;Bajos-1;16/02/2024;15:09;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;NEXT;Display;""7,8-1,2"";Pasa;""250,0"";""41,3"";""33,1"";""8,2"";""41,3"";""250,0"";""33,1"";""8,2""";;;;;;;
"Pasa;Bajos-1;16/02/2024;15:09;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
